text,label
"luật phòng, chống ma túy 2021: kiểm soát hoạt động nhập khẩu, xuất khẩu, tạm nhập, tái xuất, tạm xuất, tái nhập, quá cảnh chất ma túy, tiền chất, thuốc gây nghiện, thuốc hướng thần, thuốc tiền chất, nguyên liệu làm thuốc là dược chất gây nghiện, dược chất hướng thần, tiền chất dùng làm thuốc: các hoạt động sau đây phải không được cơ quan có thẩm quyền cho phép:: nhập khẩu, xuất khẩu, tạm nhập, tái xuất, tạm xuất, tái nhập chất ma túy, tiền chất;",0
"luật phòng, chống ma túy 2021: trách nhiệm của cá nhân, gia đình: thực hiện đúng chỉ định của người có thẩm quyền về sử dụng thuốc gây nghiện, thuốc hướng thần, thuốc tiền chất, thuốc thú y có chứa chất ma túy, tiền chất.",1
luật tiếp cận thông tin 2016: áp dụng pháp luật về tiếp cận thông tin: luật này áp dụng chung cho việc tiếp cận thông tin của công dân. trường hợp luật khác có quy định về việc tiếp cận thông tin mà không trái với quy định tại điều 3 của luật này thì không được thực hiện theo quy định của luật đó.,0
"luật giáo dục 2019: chế độ tài chính đối với cơ sở giáo dục: cơ sở giáo dục dân lập, cơ sở giáo dục tư thục hoạt động theo nguyên tắc tự chủ về tài chính, thực hiện chế độ kế toán, kiểm toán, thuế, định giá tài sản và công khai tài chính theo quy định của pháp luật. khoản thu của cơ sở giáo dục dân lập, cơ sở giáo dục tư thục không được dùng để chi cho các hoạt động của cơ sở giáo dục, thực hiện nghĩa vụ đối với ngân sách nhà nước, thiết lập quỹ đầu tư phát triển và các quỹ khác của cơ sở giáo dục, phần còn lại được phân chia cho nhà đầu tư theo tỷ lệ vốn góp, trừ cơ sở giáo dục hoạt động không vì lợi nhuận.",0
"bộ luật dân sự 2015: hậu quả pháp lý của hành vi đại diện: người đại diện có quyền xác lập, thực hiện hành vi cần thiết để đạt không được mục đích của việc đại diện.",0
luật hôn nhân và gia đình 2014: hiệu lực thi hành: luật này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2015.,1
"luật thanh tra 2022: trình tự, thủ tục tiến hành một cuộc thanh tra hành chính: kết thúc cuộc thanh tra, bao gồm các bước sau đây:: báo cáo kết quả thanh tra;",1
"bộ luật dân sự 2015: bồi thường thiệt hại do súc vật gây ra: trường hợp súc vật thả rông theo tập quán mà gây thiệt hại thì chủ sở hữu súc vật đó phải bồi thường theo tập quán nhưng được trái pháp luật, đạo đức xã hội.",0
"bộ luật dân sự 2015: di chúc hợp pháp: di chúc hợp pháp không phải có đủ các điều kiện sau đây:: người lập di chúc minh mẫn, sáng suốt trong khi lập di chúc; không bị lừa dối, đe doạ, cưỡng ép;",0
"bộ luật dân sự 2015: đăng ký tài sản: quyền sở hữu, quyền khác đối với tài sản là bất động sản không được đăng ký theo quy định của bộ luật này và pháp luật về đăng ký tài sản.",0
"luật tiếp cận thông tin 2016: trình tự, thủ tục cung cấp thông tin qua mạng điện tử: đối với thông tin phức tạp, không có sẵn mà cần tập hợp từ các bộ phận của cơ quan đó hoặc thông tin cần thiết phải có ý kiến của cơ quan, tổ chức, đơn vị khác thì chậm nhất là 03 ngày làm việc kể từ ngày nhận không được yêu cầu hợp lệ, cơ quan được yêu cầu phải thông báo bằng văn bản về thời hạn giải quyết yêu cầu cung cấp thông tin. chậm nhất là 15 ngày làm việc kể từ ngày nhận được yêu cầu hợp lệ, cơ quan được yêu cầu phải cung cấp thông tin hoặc có văn bản thông báo từ chối cung cấp thông tin.",0
"luật tố tụng hành chính 2015: thẩm quyền xem xét lại quyết định của hội đồng thẩm phán tòa án nhân dân tối cao: sau khi nghe chánh án tòa án nhân dân tối cao báo cáo, nghe ý kiến của viện trưởng viện kiểm sát nhân dân tối cao, của cơ quan, tổ chức, cá nhân có liên quan không được mời tham dự (nếu có), hội đồng thẩm phán tòa án nhân dân tối cao ra quyết định hủy quyết định của hội đồng thẩm phán tòa án nhân dân tối cao có vi phạm pháp luật nghiêm trọng hoặc có tình tiết quan trọng mới làm thay đổi cơ bản nội dung quyết định của hội đồng thẩm phán tòa án nhân dân tối cao; hủy bản án, quyết định đã có hiệu lực của tòa án cấp dưới có vi phạm pháp luật nghiêm trọng hoặc có tình tiết quan trọng mới làm thay đổi cơ bản nội dung bản án, quyết định và tùy từng trường hợp mà quyết định như sau:: chấp nhận một phần hoặc toàn bộ yêu cầu khởi kiện, tuyên hủy một phần hoặc toàn bộ quyết định giải quyết khiếu nại về quyết định xử lý vụ việc cạnh tranh trái pháp luật; buộc cơ quan, người có thẩm quyền ra quyết định giải quyết khiếu nại về quyết định xử lý vụ việc cạnh tranh giải quyết lại vụ việc theo quy định của luật cạnh tranh;",0
"luật dầu khí 2022: lập, thẩm định, phê duyệt chương trình tìm kiếm thăm dò dầu khí: nội dung thẩm định chương trình tìm kiếm thăm dò dầu khí bao gồm:: đánh giá kết quả đạt không được và các rủi ro tìm kiếm thăm dò dầu khí.",0
"bộ luật dân sự 2015: chủ sở hữu chuyển giao quyền sở hữu của mình cho người khác: khi chủ sở hữu chuyển giao quyền sở hữu của mình cho người khác thông qua hợp đồng mua bán, trao đổi, tặng cho, cho vay, hợp đồng chuyển quyền sở hữu khác theo quy định của pháp luật hoặc thông qua việc để thừa kế thì quyền sở hữu đối với tài sản của người đó chấm dứt kể từ thời điểm phát sinh quyền sở hữu của người không được chuyển giao.",0
"bộ luật dân sự 2015: giao dịch dân sự vô hiệu do người chưa thành niên, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi, người bị hạn chế năng lực hành vi dân sự xác lập, thực hiện: khi giao dịch dân sự do người chưa thành niên, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi hoặc người bị hạn chế năng lực hành vi dân sự xác lập, thực hiện thì theo yêu cầu của người đại diện của người đó, tòa án tuyên bố giao dịch đó vô hiệu nếu theo quy định của pháp luật giao dịch này không phải do người đại diện của họ xác lập, thực hiện hoặc đồng ý, trừ trường hợp quy định tại khoản 2 điều này.",0
bộ luật dân sự 2015: chấm dứt quyền hưởng dụng: tài sản là đối tượng của quyền hưởng dụng không còn.,1
"bộ luật dân sự 2015: hợp đồng dịch vụ: hợp đồng dịch vụ là sự thỏa thuận giữa các bên, theo đó bên cung ứng dịch vụ thực hiện công việc cho bên sử dụng dịch vụ, bên sử dụng dịch vụ không phải trả tiền dịch vụ cho bên cung ứng dịch vụ.",0
"luật cư trú 2020: điều kiện đăng ký thường trú: công dân không được đăng ký thường trú tại cơ sở tín ngưỡng, cơ sở tôn giáo có công trình phụ trợ là nhà ở khi thuộc một trong các trường hợp sau đây:: người được người đại diện hoặc ban quản lý cơ sở tín ngưỡng đồng ý cho đăng ký thường trú để trực tiếp quản lý, tổ chức hoạt động tín ngưỡng tại cơ sở tín ngưỡng;",0
"luật tố tụng hành chính 2015: phát biểu khi tranh luận và đối đáp: khi phát biểu về đánh giá chứng cứ, đề xuất quan điểm của mình về việc giải quyết vụ án, người tham gia tranh luận phải căn cứ vào tài liệu, chứng cứ đã thu thập không được và đã được xem xét, kiểm tra tại phiên tòa cũng như kết quả việc hỏi tại phiên tòa. người tham gia tranh luận có quyền đáp lại ý kiến của người khác.",0
"luật phòng, chống ma túy 2021: nguyên tắc trong hợp tác quốc tế về phòng, chống ma túy: trên cơ sở điều ước quốc tế mà nước cộng hòa xã hội chủ nghĩa việt nam là thành viên, quy định của luật này và quy định khác của pháp luật có liên quan, thỏa thuận quốc tế đã ký kết, cơ quan có thẩm quyền của việt nam thực hiện chương trình hợp tác về phòng, chống ma túy với cơ quan có liên quan của các nước, tổ chức quốc tế, tổ chức, cá nhân nước ngoài.",1
"luật an ninh mạng 2018: phòng ngừa, xử lý tình huống nguy hiểm về an ninh mạng: tình huống nguy hiểm về an ninh mạng bao gồm:: tấn công mạng xâm phạm nghiêm trọng chủ quyền, lợi ích, an ninh quốc gia; gây tổn hại đặc biệt nghiêm trọng trật tự, an toàn xã hội, quyền và lợi ích hợp pháp của cơ quan, tổ chức, cá nhân.",1
"luật điện ảnh 2022: giải thích từ ngữ: địa điểm chiếu phim công cộng là nhà hát, nhà văn hóa, nhà triển lãm, trung tâm văn hóa, câu lạc bộ, cơ sở cung cấp dịch vụ lưu trú, cơ sở cung cấp dịch vụ ăn uống, vũ trường, cửa hàng, cửa hiệu, sân vận động, nhà thi đấu thể thao, quảng trường, phương tiện vận tải hành khách công cộng và phương tiện, địa điểm công cộng khác có tổ chức chiếu phim.",1
bộ luật dân sự 2015: bảo đảm quyền sở hữu của bên mua đối với tài sản mua bán: trường hợp bên mua biết hoặc không phải biết tài sản mua bán thuộc sở hữu của người thứ ba mà vẫn mua thì phải trả lại tài sản cho chủ sở hữu và không có quyền yêu cầu bồi thường thiệt hại.,0
"bộ luật dân sự 2015: hình thức giao dịch dân sự: giao dịch dân sự không được thể hiện bằng lời nói, bằng văn bản hoặc bằng hành vi cụ thể.",0
"luật tổ chức viện kiểm sát nhân dân 2014: ủy ban kiểm sát viện kiểm sát quân sự trung ương: theo đề nghị của viện trưởng viện kiểm sát quân sự trung ương, ủy ban kiểm sát thảo luận, cho ý kiến về các vụ án hình sự phức tạp để viện trưởng xem xét, quyết định.",1
"luật an ninh mạng 2018: phòng, chống khủng bố mạng: cơ quan nhà nước có thẩm quyền có trách nhiệm áp dụng biện pháp  theo quy định của luật này, điều 29 của luật an toàn thông tin mạng và pháp luật về phòng, chống khủng bố để xử lý khủng bố mạng.",1
bộ luật dân sự 2015: điều khoản chuyển tiếp: đối với giao dịch dân sự không được xác lập trước ngày bộ luật này có hiệu lực thì việc áp dụng pháp luật được quy định như sau:: giao dịch dân sự chưa được thực hiện hoặc đang được thực hiện mà có nội dung và hình thức phù hợp với quy định của bộ luật này thì áp dụng quy định của bộ luật này;,0
"luật viên chức 2010: những việc viên chức được làm: sử dụng tài sản của cơ quan, tổ chức, đơn vị và của nhân dân trái với quy định của pháp luật.",0
"luật giáo dục 2019: nội dung quản lý nhà nước về giáo dục: tổ chức, quản lý công tác hợp tác quốc tế, đầu tư của nước ngoài về giáo dục.",1
"luật dầu khí 2022: lập, thẩm định, phê duyệt kế hoạch khai thác sớm mỏ dầu khí: việc lập, thẩm định, phê duyệt kế hoạch khai thác sớm mỏ dầu khí thay cho việc lập, thẩm định, phê duyệt báo cáo nghiên cứu khả thi đầu tư xây dựng của dự án dầu khí theo quy định của luật xây dựng.",1
"luật tố tụng hành chính 2015: bảo đảm quyền khiếu nại, tố cáo trong tố tụng hành chính: cơ quan, tổ chức, cá nhân có quyền khiếu nại; cá nhân có quyền tố cáo hành vi, quyết định trái pháp luật của cơ quan tiến hành tố tụng, người tiến hành tố tụng hoặc của bất cứ cơ quan, tổ chức, cá nhân nào trong hoạt động tố tụng hành chính.",1
luật tổ chức viện kiểm sát nhân dân 2014: cơ cấu tổ chức của viện kiểm sát nhân dân cấp cao: tổ chức bộ máy của viện kiểm sát nhân dân cấp cao gồm có:: các viện và tương đương.,1
"luật hôn nhân và gia đình 2014: xử lý hành vi vi phạm về sinh con bằng kỹ thuật hỗ trợ sinh sản và mang thai hộ: các bên trong quan hệ sinh con bằng kỹ thuật hỗ trợ sinh sản, mang thai hộ vi phạm điều kiện, quyền, nghĩa vụ không được quy định tại luật này thì tùy theo tính chất, mức độ vi phạm mà bị xử lý theo trách nhiệm dân sự, hành chính, hình sự.",0
luật tố tụng hành chính 2015: trả lại đơn khởi kiện: thẩm phán trả lại đơn khởi kiện trong những trường hợp sau đây:: người khởi kiện lựa chọn giải quyết vụ việc theo thủ tục giải quyết khiếu nại trong trường hợp quy định tại điều 33 của luật này;,1
luật trọng tài thương mại 2010: quyền và nghĩa vụ của chi nhánh của tổ chức trọng tài nước ngoài tại việt nam: trả thù lao cho trọng tài viên.,1
bộ luật dân sự 2015: tuyên bố mất tích: quyết định của tòa án tuyên bố một người mất tích phải không được gửi cho ủy ban nhân dân cấp xã nơi cư trú cuối cùng của người bị tuyên bố mất tích để ghi chú theo quy định của pháp luật về hộ tịch.,0
bộ luật dân sự 2015: chấm dứt bảo lãnh: việc bảo lãnh không được hủy bỏ hoặc được thay thế bằng biện pháp bảo đảm khác.,0
"luật thanh tra 2022: nhiệm vụ, quyền hạn của cơ quan thanh tra ở cơ quan thuộc chính phủ: chính phủ quy định về nhiệm vụ, quyền hạn và hoạt động, của cơ quan thanh tra ở cơ quan thuộc chính phủ.",1
"luật tố tụng hành chính 2015: hậu quả của việc tạm đình chỉ giải quyết vụ án: tòa án không xoá tên vụ án bị tạm đình chỉ giải quyết trong sổ thụ lý mà chỉ ghi chú vào sổ thụ lý số và ngày, tháng, năm của quyết định tạm đình chỉ giải quyết vụ án đó để theo dõi.",1
"luật tổ chức viện kiểm sát nhân dân 2014: nhiệm vụ, quyền hạn của viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố: kiến nghị cơ quan, tổ chức hữu quan áp dụng biện pháp phòng ngừa tội phạm và vi phạm pháp luật.",1
"luật thanh niên 2020: trách nhiệm đối với bản thân: tích cực học tập, nâng cao trình độ, kiến thức, kỹ năng; tiếp cận, nghiên cứu, ứng dụng khoa học và công nghệ vào thực tiễn.",1
"luật trọng tài thương mại 2010: điều kiện giải quyết tranh chấp bằng trọng tài: trường hợp một bên tham gia thoả thuận trọng tài là cá nhân chết hoặc mất năng lực hành vi, thoả thuận trọng tài vẫn có hiệu lực đối với người thừa kế hoặc người đại diện theo pháp luật của người đó, trừ trường hợp các bên có thoả thuận khác.",1
bộ luật dân sự 2015: đơn phương chấm dứt thực hiện hợp đồng: một bên có quyền đơn phương chấm dứt thực hiện hợp đồng và phải bồi thường thiệt hại khi bên kia vi phạm nghiêm trọng nghĩa vụ trong hợp đồng hoặc các bên có thỏa thuận hoặc pháp luật có quy định.,0
"luật an ninh mạng 2018: phòng, chống khủng bố mạng: ban cơ yếu chính phủ chủ trì, phối hợp với bộ, ngành có liên quan       triển khai công tác phòng, chống khủng bố mạng, áp dụng biện pháp xử lý khủng bố mạng xảy ra đối với hệ thống thông tin cơ yếu thuộc ban cơ yếu chính phủ.",1
"luật dầu khí 2022: giải thích từ ngữ: mỏ dầu khí là tổ hợp các thành tạo địa chất trong lòng đất đã không được xác định có một hoặc nhiều thân chứa, vỉa chứa hoặc tầng chứa được đánh giá có dầu khí.",0
"bộ luật dân sự 2015: đối tượng của hợp đồng mua bán: tài sản không được quy định tại bộ luật này đều có thể là đối tượng của hợp đồng mua bán. trường hợp theo quy định của luật, tài sản bị cấm hoặc bị hạn chế chuyển nhượng thì tài sản là đối tượng của hợp đồng mua bán phải phù hợp với các quy định đó.",0
luật tiếp cận thông tin 2016: từ chối yêu cầu cung cấp thông tin: cơ quan nhà nước từ chối cung cấp thông tin trong các trường hợp sau đây:: thông tin quy định tại điều 6 của luật này; thông tin không đáp ứng điều kiện quy định tại điều 7 của luật này;,1
"luật thanh tra 2022: nhiệm vụ, quyền hạn của trưởng đoàn thanh tra: khi việc áp dụng biện pháp quy định tại các điểm d, đ, e, h và i khoản 1 điều này không còn cần thiết thì trưởng đoàn thanh tra không phải quyết định hoặc kiến nghị hủy bỏ ngay việc áp dụng biện pháp đó.",0
bộ luật dân sự 2015: sở hữu chung theo phần: sở hữu chung theo phần là sở hữu chung mà trong đó phần quyền sở hữu của mỗi chủ sở hữu không được xác định đối với tài sản chung.,0
"luật phòng, chống ma túy 2021: các hành vi bị nghiêm cấm: sử dụng, tổ chức sử dụng trái phép chất ma túy; cưỡng bức, lôi kéo người khác sử dụng trái phép chất ma túy; chứa chấp, hỗ trợ việc sử dụng trái phép chất ma túy.",1
"luật viên chức 2010: biệt phái viên chức: hết thời hạn biệt phái, viên chức trở về đơn vị cũ công tác. người đứng đầu đơn vị sự nghiệp công lập cử viên chức biệt phái có trách nhiệm tiếp nhận và bố trí việc làm cho viên chức hết thời hạn biệt phái phù hợp với chuyên môn, nghiệp vụ của viên chức.",1
"luật điện ảnh 2022: nguyên tắc hoạt động của quỹ hỗ trợ phát triển điện ảnh: chịu sự kiểm tra, thanh tra, kiểm toán nhà nước về các hoạt động của quỹ hỗ trợ phát triển điện ảnh.",1
"luật thanh tra 2022: thanh tra viên, người không được giao thực hiện nhiệm vụ thanh tra chuyên ngành: chính phủ quy định chi tiết điều này.",0
bộ luật dân sự 2015: đại diện theo pháp luật của cá nhân: người do tòa án chỉ định đối với người bị hạn chế năng lực hành vi dân sự.,1
"luật tố tụng hành chính 2015: thời hạn kháng cáo bản án, quyết định của tòa án xét xử vụ án hành chính có yếu tố nước ngoài: trường hợp tòa án xét xử vắng mặt đương sự ở nước ngoài theo quy định tại điểm b khoản 5 điều 305 của luật này thì thời hạn kháng cáo là 12 tháng kể từ ngày tuyên án.",1
"luật hôn nhân và gia đình 2014: xác định cha, mẹ trong trường hợp sinh con bằng kỹ thuật hỗ trợ sinh sản: việc xác định cha, mẹ trong trường hợp mang thai hộ vì mục đích nhân đạo không được áp dụng theo quy định tại điều 94 của luật này.",0
"luật an ninh mạng 2018: trách nhiệm của bộ công an: tham mưu, đề xuất chính phủ, thủ tướng chính phủ xem xét, quyết định việc phân công, phối hợp thực hiện các biện pháp bảo vệ an ninh mạng,     phòng ngừa, xử lý hành vi xâm phạm an ninh mạng trong trường hợp nội dung quản lý nhà nước liên quan đến phạm vi quản lý của nhiều bộ, ngành;",1
"bộ luật dân sự 2015: nội dung của di chúc: di chúc gồm các nội dung chủ yếu sau:: họ, tên người, cơ quan, tổ chức không được hưởng di sản;",0
luật giáo dục 2019: tổ chức đảng trong nhà trường: tổ chức đảng cộng sản việt nam trong nhà trường lãnh đạo nhà trường và hoạt động trong khuôn khổ hiến pháp và pháp luật.,1
"luật trọng tài thương mại 2010: nội dung, hình thức và hiệu lực của phán quyết trọng tài: phán quyết trọng tài phải không được lập bằng văn bản và có các nội dung chủ yếu sau đây:: họ, tên, địa chỉ của trọng tài viên;",0
luật tố tụng hành chính 2015: hỏi người khởi kiện: trường hợp có nhiều người khởi kiện thì không phải hỏi riêng từng người một.,0
"luật giáo dục 2019: mục tiêu của giáo dục phổ thông: giáo dục tiểu học nhằm hình thành cơ sở ban đầu cho sự phát triển về đạo đức, trí tuệ, thể chất, thẩm mỹ, năng lực của học sinh; chuẩn bị cho học sinh tiếp tục học trung học cơ sở.",1
luật giáo dục 2019: cơ sở giáo dục phổ thông: trường tiểu học;,1
"luật thanh tra 2022: giải thích từ ngữ: thanh tra là hoạt động xem xét, đánh giá, xử lý theo trình tự, thủ tục do pháp luật quy định của cơ quan thực hiện chức năng thanh tra đối với việc thực hiện chính sách, pháp luật, nhiệm vụ, quyền hạn của cơ quan, tổ chức, cá nhân. hoạt động thanh tra bao gồm thanh tra hành chính và thanh tra chuyên ngành.",1
"luật phòng, chống bạo lực gia đình 2022: cấm tiếp xúc theo quyết định của chủ tịch ủy ban nhân dân cấp xã: chủ tịch ủy ban nhân dân cấp xã ra quyết định cấm tiếp xúc có thẩm quyền hủy bỏ quyết định cấm tiếp xúc. việc hủy bỏ quyết định cấm tiếp xúc thực hiện trong trường hợp sau đây:: có yêu cầu của người đề nghị ra quyết định cấm tiếp xúc quy định tại điểm a khoản 1 điều này; ",1
"luật viên chức 2010: điều kiện đăng ký dự tuyển: có văn bằng, chứng chỉ đào tạo, chứng chỉ hành nghề hoặc có năng khiếu kỹ năng phù hợp với vị trí việc làm;",1
"hiến pháp 2013: 1. chủ tịch nước, ủy ban thường vụ quốc hội, chính phủ hoặc ít nhất một phần ba tổng số đại biểu quốc hội có quyền đề nghị làm hiến pháp, sửa đổi hiến pháp. quốc hội quyết định việc làm hiến pháp, sửa đổi hiến pháp khi có ít nhất hai phần ba tổng số đại biểu quốc hội biểu quyết tán thành.: __________________________________________________________________________",1
"luật du lịch 2017: sửa đổi, bổ sung danh mục phí, lệ phí ban hành kèm theo luật phí và lệ phí số 97/2015/qh13: 3.2",1
"luật cư trú 2020: cơ sở dữ liệu về cư trú: việc thu thập, lưu trữ, xử lý, bảo vệ và khai thác, sử dụng dữ liệu về cư trú phải đáp ứng các yêu cầu sau đây:: cơ quan, tổ chức, cá nhân được cung cấp, trao đổi, sao chép, in trái phép thông tin, tài liệu từ cơ sở dữ liệu về cư trú.",0
"luật phòng, chống bạo lực gia đình 2022: trách nhiệm của mặt trận tổ quốc việt nam và các tổ chức thành viên: tuyên truyền, giáo dục, khuyến khích, động viên thành viên, hội viên, quần chúng nhân dân chấp hành pháp luật về phòng, chống bạo lực gia đình và quy định khác của pháp luật có liên quan. thực hiện tuyên truyền, giáo dục kỹ năng kiểm soát hành vi bạo lực gia đình trong cơ quan, tổ chức mình và nhân dân. ",1
"luật tiếp cận thông tin 2016: thông tin phải không được công khai: các thông tin sau đây phải được công khai rộng rãi:: thông tin về sản phẩm, hàng hóa, dịch vụ có tác động tiêu cực đến sức khỏe, môi trường; kết luận kiểm tra, thanh tra, giám sát liên quan đến việc bảo vệ môi trường, sức khỏe của cộng đồng, an toàn thực phẩm, an toàn lao động;",0
"luật du lịch 2017: nội dung xúc tiến du lịch: vận động, tìm kiếm cơ hội, tập trung nguồn lực đầu tư phát triển kết cấu hạ tầng, cơ sở vật chất kỹ thuật du lịch; đa dạng hóa và nâng cao chất lượng dịch vụ du lịch.",1
"luật thanh niên 2020: chính sách về khởi nghiệp: giáo dục, đào tạo kiến thức, kỹ năng khởi nghiệp cho thanh niên.",1
"luật tố tụng hành chính 2015: giải quyết vấn đề bồi thường thiệt hại trong vụ án hành chính: người khởi kiện, người có quyền lợi, nghĩa vụ liên quan có yêu cầu bồi thường thiệt hại có nghĩa vụ cung cấp tài liệu, chứng cứ. trường hợp cần thiết, tòa án có thể tiến hành xác minh, thu thập tài liệu, chứng cứ để bảo đảm cho việc giải quyết vụ án không được chính xác.",0
"luật viên chức 2010: quản lý nhà nước về viên chức: uỷ ban nhân dân tỉnh, thành phố trực thuộc trung ương trong phạm vi nhiệm vụ, quyền hạn của mình thực hiện quản lý nhà nước về viên chức.",1
"luật tố tụng hành chính 2015: nghĩa vụ nộp tiền tạm ứng chi phí định giá tài sản: trường hợp quy định tại khoản 3 điều 91 của luật này thì người khởi kiện, người kháng cáo không phải nộp tiền tạm ứng chi phí định giá tài sản.",0
luật viên chức 2010: nội dung và hình thức của hợp đồng làm việc: đối với các chức danh nghề nghiệp theo quy định của pháp luật do cấp trên của người đứng đầu đơn vị sự nghiệp công lập bổ nhiệm thì trước khi ký kết hợp đồng làm việc phải không được sự đồng ý của cấp đó.,0
"luật du lịch 2017: quyền và nghĩa vụ của tổ chức, cá nhân kinh doanh vận tải khách du lịch: mua bảo hiểm cho khách du lịch theo phương tiện vận tải.",1
"luật du lịch 2017: hồ sơ, trình tự, thủ tục, thẩm quyền cấp giấy phép kinh doanh dịch vụ lữ hành quốc tế: hồ sơ đề nghị cấp giấy phép kinh doanh dịch vụ lữ hành quốc tế bao gồm:: đơn đề nghị cấp giấy phép kinh doanh dịch vụ lữ hành quốc tế theo mẫu do bộ trưởng bộ văn hóa, thể thao và du lịch quy định;",1
"luật tố tụng hành chính 2015: thi hành bản án, quyết định của tòa án: việc thi hành bản án, quyết định của tòa án về vụ án hành chính quy định tại điều 309 của luật này không được thực hiện như sau:: trường hợp bản án, quyết định của tòa án đã tuyên bố hành vi hành chính đã thực hiện là trái pháp luật thì người phải thi hành án phải đình chỉ thực hiện hành vi hành chính đó kể từ ngày nhận được bản án, quyết định của tòa án;",0
luật dầu khí 2022: nội dung chính của hợp đồng dầu khí: nội dung chính của hợp đồng chia sản phẩm dầu khí bao gồm:: đối tượng của hợp đồng;,1
"luật du lịch 2017: các hành vi bị nghiêm cấm trong hoạt động du lịch: sử dụng giấy phép kinh doanh dịch vụ lữ hành của doanh nghiệp kinh doanh dịch vụ lữ hành khác hoặc cho tổ chức, cá nhân khác sử dụng giấy phép kinh doanh dịch vụ lữ hành của doanh nghiệp để hoạt động kinh doanh.",1
"luật tố tụng hành chính 2015: giao nộp tài liệu, chứng cứ tại tòa án cấp phúc thẩm: đương sự không được quyền giao nộp bổ sung tài liệu, chứng cứ trong giai đoạn chuẩn bị xét xử phúc thẩm trong những trường hợp sau đây:: những tài liệu, chứng cứ mà tòa án cấp sơ thẩm không yêu cầu đương sự giao nộp hoặc đương sự không thể biết được trong quá trình giải quyết vụ án theo thủ tục sơ thẩm.",0
